pool_id,hex,vrf_key,blocks_minted,live_stake,live_size,live_saturation,live_delegators,active_stake,active_size,declared_pledge,live_pledge,margin_cost,fixed_cost,reward_account,owners,registration,retirement
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf,0220a5d08adbfe9554b52d7b2993be5892ac3ff340e674a377dea3e22ad1778b,3237,50335095587721,0.0021626653496830124,0.767072119704276,2323,49709912274940,0.002137739422314397,100000000000,566082560379,0.009,340000000,stake1uy89kzrdlpaz5rzu8x95r4qnlpqhd3f8mf09edjp73vcs3qhktrtm,['stake1uy89kzrdlpaz5rzu8x95r4qnlpqhd3f8mf09edjp73vcs3qhktrtm'],"['841cca81da918feb9fa7257a34630eac95794be712ed3faae6df64f215ce25f2', 'f7c57295fda5181dd0d3ef44b0f35c6c36befdcbeec5a69f16f3ebca56b2f465', '2dd4736901077109ee576b72074266316d3b92159d66f751757e3df9954f59d5', '2e5c52c6c51ecd42b67e3f50283084741c1a5eceb2c259c60b7958c5b8f4b59b']",[]
pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,0f292fcaa02b8b2f9b3c8f9fd8e0bb21abedb692a6d5058df3ef2735,b512cc7c1a8ba689c2d8fd27adfdbac2049a3f8f95c8b85e8298f14d7d8dc4e6,1486,6232091389177,0.0002677640311607721,0.09497277190535301,174,6269769274575,0.00026962696841916113,510000000000,541135389680,0.049,340000000,stake1u98nnlkvkk23vtvf9273uq7cph5ww6u2yq2389psuqet90sv4xv9v,['stake1u98nnlkvkk23vtvf9273uq7cph5ww6u2yq2389psuqet90sv4xv9v'],['a96c79773b7506211eb56bf94886a2face17657d1009f52fb5ea05f19cc8823e'],[]
pool1c8k78ny3xvsfgenhf4yzvpzwgzxmz0t0um0h2xnn2q83vjdr5dj,c1ede3cc9133209466774d4826044e408db13d6fe6df751a73500f16,b8ba5f7dcbf17e95781e325114da46def1fa908435a27dcae2f5332028fa001a,59,545164866867,2.342320310851713e-05,0.00830793634408002,9,545258247614,2.344844313583975e-05,50100000000,544570769598,0,340000000,stake1uyx0ut5wc5nmu0tacjc9pyyahdyq5ujghwljkdxrpfw5vecnyn4gg,"['stake1uyx0ut5wc5nmu0tacjc9pyyahdyq5ujghwljkdxrpfw5vecnyn4gg', 'stake1uyacuruhne34456jh7vzuc9ly0rqmxanu9z4pzyly06z94gmm4a8a']","['37f5682e2622c821175bab9d5637b7321ecacc5ec6636f69c77e68ea915831ca', '24d2a4ab7820bfa149ad9d85692f4823f06549db530135d0bd9d5a63b8c1377c', 'b775d5f292fbcb0205aa686d284712242a3b5afeebdf8fbae6a085d22ed12b5e', '4650bc387437a10ef5f0b94ae473a6c1bebfca395449976ef9ea267aa96c7f81']",[]
pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,01df29429173d263c7533a22742dae19f16a08798b7a57873c34cf58,b75115a1e4e32a33985fc720f3715f0e99617b448fbc36867deb5c9eaa59e2ff,214,2052161244658,8.817184042195167e-05,0.03127352113936951,728,2062057212380,8.867730382607636e-05,100000000000,189197339541,0.02,340000000,stake1uxxsa2rlkv728pve3ks7kn7c6v68luagdjgwa0medy6vp9suv96q8,['stake1uxxsa2rlkv728pve3ks7kn7c6v68luagdjgwa0medy6vp9suv96q8'],"['e8951eddb19b697bc74549aa9d4f956a8be8d5cf2c7a8e13878b8e785b1b0499', '825ef903fa05a561ce85e0d63018dc7eedbc78fa6e4a19cc73aa797a2e48d618', '0182015942b0ca2ab98abd22d2fb0e12eb36622bd9e2457820055d0f5a2e92e1', '24fe5f9688387a54ed806ff0d7cd31e4ae43abc27bafc4fe525db1c8be6d4ca3', '86ec5b07df13dd002770a64f47c461dac1f722e58df22f47d10af79eefd5eaae', 'baea25fd856a7a7d000a539b630bf40fbe52ac1469cbfdfc9ac18f8654bdeea4', '7d13c2aefc34779318071b8b5fe5353d2c67fed3629673ce891151569d4331d6', '57dc64b802e29feff442906094cd040d4e3e79a13e3241d36952282e2291cabc', '885f478d360601916fa86bf70e499a0ffdb88670d691b50ccba5686abed10c29', '39be68928de286767d442e2a4bb91ff0f580ba5ab7aafdc3f6e7e77e9e1339dd', '282fceae603d032793ece6e656f417bc6d0bfe7398baaa890192df7b8e54f955', 'ba121c5afd5793160e6b108eb873d1260b07fb5865afd7a4c53d61cf2f008534', 'f8ab180ad4e2cf88e5eb7f97dc90f88d80b0eae4f2f7ecc7ae91bfbcf047cd1d']",[]
pool1ddskftmsscw92d7vnj89pldwx5feegkgcmamgt5t0e4lkd7mdp8,6b6164af70861c5537cc9c8e50fdae35139ca2c8c6fbb42e8b7e6bfb,78b0b08fec7458afd1209dcd26bd0c10faa640a49d50137200f1656af56a4f1d,23,4000924534,1.719011507845279e-07,6.097132879630191e-05,14,4000924534,1.720569140160886e-07,7149000000,0,0.05,340000000,stake1u9w20uzsevkxe6vp2nlmqjjrcj4gvcf560tvufuvrcjpxvgqaqg0t,['stake1u9w20uzsevkxe6vp2nlmqjjrcj4gvcf560tvufuvrcjpxvgqaqg0t'],"['ff2d9576bd9c5e1dff6c9987860de39366f7b75dd6bbc88115811d3c60782b40', '3173116cf1d4b2a164886706856d067c9795861ba8a43300b9150d5e0bb0f026', '0e57b977f762ff907a026f7c13fb6ceb28266e5fa3c0c9dfe76e780df7b44006', '7824f2bd413905fd47a1cdbb941475cabffbd5ab72701a33e725fd4f4a2b81f0', 'e38a6a3197461750f9509d40f13d2208087312802d580fbbbb096d9e5151d7d2']",[]
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,00000036d515e12e18cd3c88c74f09a67984c2c279a5296aa96efe89,6de7605b2afd7e205318fc8b4329d26439b5b179b4746fea12f1ce50395f5d9e,4565,57759920281776,0.002481675593049286,0.8802213240516853,2161,55746713962607,0.002397347785351594,2500000000000,2540082384509,0.01,340000000,stake1uxrkez465cmpdrragd3rhcgrc6lllnasxd7qtl735l489egx9yfxe,"['stake1uyu7kwazvf97ccvqrd5u6zruzep2yedn9z8mzqvl420rafq78lk3g', 'stake1uy7ccasgje45h004zws56ktp7nvcnktvez5c76hd84n6a6sd2g66l', 'stake1u8gj9ucwx5gune8sx46maayrqykfvuzqrdv6x68ths9raug7taxze', 'stake1u867tezh9puktlvqvg8tyzkxanf3es338sxa6uy0vhltncqel5g6a']","['cc59d4f15db2b8a526db013653500ab33ed55b7cda04f8106f8b63928187df3f', '677d1e14cc4a34f12172b6c5a8d23fbc9ce8748b0786482d4452c80efd3a6cf8', 'e9413ac372adc8e2198f08c38a2225df29e1ef6a63bc11984656e2c66c171a26', '5754e8369dafd4134eb490f1c8068e5dea5c65e47750bedf3b73644d7f295f21', 'a9803c84a35751f36e3adf2f4ccc6420925ce79f0730669f08ca68f1f7b6a337', '38bae9866a5657f7dbfaf9a97aeec5da6c3891b2404173b80c8423c910a78815', '80c204617ef6ef3802de953d5f55e320c9ac04c3984d4535c02861e7311a82cc', '301199d542c4361d389d7e66c45423ab01526fa33675e1d25668495aa32046cd', '0fed054b13a1d01c8a902eb84a5f203866056e0e51bf0ded2a2c99048f5b6488', '4976bce53e717e7b8d7986d6dbd13247d6898ef1af5f948750b8917a1fe1ea38']",[]
pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,6ec027701fa6c9f4a593f7e7108cb2f5af54361080f7bed1c835349d,d4f6f1fbcc7609f615bf8a43b870293bcdd61ec6e786fa1fb26b59413d8494fd,1013,18299333208377,0.000786237383479109,0.2788692094338414,401,18564837475976,0.0007983676318266347,1100000000000,1237661478904,0.03,340000000,stake1u9h7awdh7aestzrkq0k8krfeesc957kmsmcrr0s3rl8wcfqeg3lgn,"['stake1uy9tvq444lvkwtzlalqpn5sswecfat6fgxmham5hushmacs2p9wdq', 'stake1u9h7awdh7aestzrkq0k8krfeesc957kmsmcrr0s3rl8wcfqeg3lgn', 'stake1u87vkp9awhqjmly3c27a60y6l6hpjdwal2tnnnrl8dsnngs9wr8cp']","['0130654e0395a9c17ff08f4b604aa777dcb740459281ca7ae32fe855d91df5ee', 'bacd140908ba8153d772cebe88879c00ad36025cab988203b0a2d560ddad3628', '4af10f808a23033367edb65e15abb53b6008a4b7a1e54a07a98a81aaf42b571d']",[]
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,00beef0a9be2f6d897ed24a613cf547bb20cd282a04edfc53d477114,c0d1f9b040d2f6fd7fc8775d24753d6db4b697429f11404a6178a0a4a005867b,2072,23292677882420,0.001000778219837655,0.35496433627942536,446,23081348929789,0.0009925969946295529,326040000000,328601254227,0.02,340000000,stake1uy2ntdynjp9ezkxtfnghh6h3lhxnlz9e9geptf8pegdw5zq2c7dzu,['stake1uyjd7xxuahjznpk6nvmmzf90eqykqqnlm9umltnphlrprpch8nyxg'],"['fce1cb9a1e8f81577d135b93cc4bac312eb98c7eb47fd27d6ab1581e78b37762', 'b443f7cfe88cdc280ebe329910698587f7ca42756d59e0929f99193c229b5f8d', 'be64054dd06e95068550afb336146cbed2e81636169146d1f024bfdf0789be25', 'f68c2f42790a2066073d3ba433bdd8b6d3a3477041d3895ba99d2868dd80f2cc', 'd3919d8f8551f054107c4622e89a7d0fb8bd3f2e4bfb68322c4d19d3ddec38d4', 'f73c840adf9d191316aec9a4481c72d5127f5d3d27efb932eecec2af4bf31b07', 'e143e6bbb9d2a8005dd1e7dc6b7aaf49bc8dafbeea4c3e8ac45b942f8980fd14', '10377e249f8d6516da6f0b5d7018588d33d983e29d73a884f1a32afad920c53e', 'b3dae206e1fa1de1dcf43190af083bf07fb6a2b9012994de31da9e35f4a4195f', 'b72f2066352370035bf723e09509ed31163a9b9f5e26a638dc165d233ced20c7', 'd966775ddaf8b205c50fc39471a7c39bfdc96e31b83f396abc1e52c7064224b3', 'c3fd32b5fa6b3d8a68305d5aa7a44e5c5ea1fcf38b731eba352fb03e3e4caf89', 'eed035526742473d2506e3f5b32f0cf6031a802c4e0bdaa09f09108a852c4a48', '246e0ee39efafcfd517edf6ab27a37d9d2ddfcd658a786ff04bfc4e8d706e554', '8f8afc57ad5fbcb83e072e7bf460d50d0c2560b8a91ab3e22669c0467da24910', '198a32218f588f74c41b9d3b954505aa789397dff75be24867769694e0fa15f3', 'c67cbd7ac214f296682ade7ab0511e75ca8d9f91d19798ca8c0c8b0bbaa4d1ec', '0998eab76dab9448f9795788521307f41a4162cd126f5fa2cd1fd7d432e51452', '6978c249f936448973938d68776639d5765874b23c27d18573ea5a42f297e43f', 'edf711318f17538bf6f31274e99c998c94e5fc48f940374e67afbe786d258768', '83b39c526185f0ed7cf850bee952af3a38262bebb6cc2cef1e621a52889d1177', '01b3294b22db573e14689ebe4f4d93b273f434c80ca4ec5a9aa2a6855ab315ad', '4feb888e66baa82a6ff2852380077d6f60ad1771a5bdb98fbe67caa302205394', 'edf01e6e4f71cb01607d6f53df07700312e5603fc4413b153bf5b78c418e9635', 'd2a0216bcb10ea8cf239f4274c972b1b07d6010a6900b5ae858baafbc7fec17b', 'a549cf88841981e211c8d8fa7769b63ac5e5c5582e8cda94530e9ba79e412688', '9ee2bb91cceff247a583c091828ce69b0c924b7b418227bd8dab5da2a1f3085a', '0e5a40954e10c19762d87bbd22a109b146b5d679225149011752b7bcd34e8505', '2935b0f1716fa6356d44377b78139b911654fda296b43b2ddee8df84aaa3f482', '1978855685475ee0747789cc206fa69185e33f7cdf366b1ad5c1a0ce7523b383', '067f8fb151e45ec75a4adfd9963808766c3744b1e2045776f45ba61edf1e464e', '14944649ae24627c19d0fee00b4305357d9eae1454dec1f2a58cb57a260f2fd7', '87e221609e39bd0914b4ababe73167713cb78a7e5f64ae174617b66aa06bfb69', '4ce7447eb380167a92d030e85e5219a5bde54f423a25f73745873f67817634d3', '542a35b0b776229b229ab08399104abbf6bd6733de3f13192ce6e4192cd89c2a', '50680ea6ecdc45ff6041bb570765d5a98ba52dfca80f19be072b18cc5e47f451', 'ababbfba24f6d2a2afb3421643f38a2c2590942a4bf42a792d278ec6da46f645']",[]
pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,d2f12c2f3094ed0784f048fe93a62d8b061525b356e043be084470d9,235b76cb913acf64b0fba3ed5f515738751c0bc76bbcd8912425e9931478dd7a,3551,52041260380143,0.0022359713290267826,0.7930728936892412,991,52448268875671,0.0022555005003336115,50000000000,50002650431,0.01,340000000,stake1u9msfg7dtt3plmtfznkxljwes70wxsqgc4ql5qxe4et37hcm98d6n,['stake1u9msfg7dtt3plmtfznkxljwes70wxsqgc4ql5qxe4et37hcm98d6n'],"['f55a0ac35bc2b4eaa1b4fc17606812abcce4fa0855072455a48d204411907cb2', 'd874fddb781faabccd3643cb38cc4010c01b143e8dff0c9449b46015b9a2e5cc', '06448b77da028282cf4d873c10115724fd1ea5c94520ee8bed2baa6ee8cd6f1b', '50ff01d660c509fe2c9524566833b60c94e5a0760bef4f54806f1364772f6695', 'fd2c33f055fe6642377e6b294b51a6fb39941bd131b34a5a147a78ba7e261034', '434e102e80937f4d5b713e781404d076e512f4c6370e66d3b701675e21a12e00']",[]
pool1qzlwlpcsgflr9z3f24fg836tyq45p0kf5cnrp20s8v0psp6tdkx,00beef8710427e328a29555283c74b202b40bec9a62630a9f03b1e18,f1fc18f5a917ba2292a8c62dbe2c3d655bd936715986e72f8fca4d2f1d80e2b2,2209,30253339212277,0.001299845518572108,0.4610400112830007,338,29484094853832,0.0012679425292824013,326027000000,328586706706,0.02,340000000,stake1ux5ncxkwkw97jn9cm7ujqgm5lv52espertjlkzxp9epw23qcj03uy,['stake1uyspqx4xxjmx2hgv8zl048fme2rrzuvw8h92j3mhvy9fkwql02yxj'],"['e0f3ed4c6f7aff81d78d800a77560ced045aa06dcbab824f2b7de431a6bbc361', 'b38bad7488dcd9b52931f1031001c96614ad076e076b52c7733519bdbaf2ea25', '202d780144209a15bc7fa7e451778b07a9155afe4a1cc64153c0f6fdb31dbca6', '8164c39e9a81b2f44375f69b830bb31cdd2640de4f1be2c8be831062b4bff16c', 'd5ca89a93ec918036abfb7b231569c4807bcf5e50c51c5550bae5fe21874530c', 'fd0d3bab63342bf3171d8109c1ed0678e1cbcb2a891cf4b39583087cef8f34e6', '49d25a9a96def86ef49b9d888badd4414e7f4025a47708e13615137cb7bf429a', 'e494a0a1895c46d0135aae4546c7a5f315d1e26cb5e8fa1313a78ee9f97c331e', '9d45258b39a668d6bfe850eeb207a3634bc724352d4d8340ada984a7d6045d53', 'a1c1e4114832c3a568f188bdd314a0f68c5c8e869b1d74c3bf88c2efc145fbb9', '620777c5aba7aa3144614c7afa73c3f7798212a9efb7c223e32216a9dbbc3ce2', '4d64f6bc09f6ec77948eb6261ef5bcdb582956e11c261acaf352d96091521bcd', 'a52741ff23ace8f346782a9078b5723700961dc6e7da805bab0c6df9c8ce4209', 'cb3a1ba1b933b2971bafc04e79c3f2ee2884bb33c75c9816a1d0083113ecfd20', '83c85c52f9f082f3a1e90526b3826e2e08c41911c3793761be57b53485952ce0', 'b57bf4bcc2b1eee72d2fac4cb7cd23966ef8f321ad9943c41add44fb003ecad8', 'ec06019099964912262804146edd59b0cc79f44f7ca493180208ec5a8a24f2ff', '9a873d877b07272058b894e777691acf788081f319e9aeddc766c049f01aede2', '594bc3649ca3593dbb0d0f986b9614d5a4edd2a264c641331ed01969d9a914a1', '70e2af2052a7ed9b45ce31d6fddd038fe2776b0eea170632fd74930a2f1e0ebb', '992ca45ed1a5eed2faa85350b2d6c51e92a75c6758f7eba1ee217989821ac159', '52e6bce6822e0857e760b51cc168375005f85586f11e840f620de97b3d469927', '582762298367597dcc9f8a959661982690c8eb48b6884637ceed2bf70fb9ef28', '8fb014d6ff7e226a26082f976aea45c1f21c8cf885ecdfb122d4e7c006ffb35a', 'c7df1f0c8f2efb8a6e451cad40435d98f29bc3847d0839d6dff12853bd3e6030', '3e5f66feaf3a2abb45ca0518030fea8f99bf07e7fb6659a4b7c09b473a2efecc', '6db0308c06bbdef8d1941c6f8b57f36cd4632f5fa29a13939f26d41acca2e551', '02a35149032de0ae429edf4e419484d435f733eb3768250c30a5464ddeaf1184', 'ac455571129eb5297dd323b4ff0c5e2e0af20d678a4456954ad05f029cf18b9c', '4701ee778f0776347576149b4af27a2d7baefef600619c0dd608021890eca75c', '7865da80b27a7d86624d7db53e5eb0a3ba5d803b151ca6bed57b0cb49c977e82', '6df8e6ce55854d9e88eabb7325df163fdf8aeadd3f72a31c955b34f3c425f28a', 'a3b671b32a6319966b8411fb065f57d46ef3b038f470688c19c2779485801603', 'f5343b492839d0bbf63a0f1e6513b5ca9f65c410bcb632e78831a4457feff33e', '9806c3880bab68be86530333aa81f46a100ac46cee3ebe0baf9fbba2e3e8f9e7', '0d20278800e035ecf20391bd74882141e57162e4599302ac1f50ea171ecdcc84', '8f3a86ff182b4e637f85831e641fb37534e3f509522feb45dae4dbef609f1741']",[]
